 ****************** Start WS v. 1.5 at 24-Sep-12 18:16:16 ******************
 
 multi none revert,0,0,0,0,0,0
 energy   5.300 GeV   current 250.0 mA
 period  12.000  cm   N        49.0      Kx      0.000      Ky      9.000
 emin     500.0  eV   emax 100000.0 eV   ne       5000
 d       20.000   m   xpc     1.000 mm   ypc     0.500 mm
 xps      0.500  mm   yps     0.250 mm   nxp        10      nyp        10
 
 b0       0.803   T   ec0    15.005  keV
 e1        53.6  eV   l1    231.466  A
 ptot   16855.5   W   pd      210.2  W/mm^2
 
 Flux through   0.500 mm x  0.250 mm pinhole at  1.000 mm,  0.500 mm @ 20.000 m:
 Integrated flux   1.202E+16 ph/s
 Integrated power       23.1 W
 
 Energy(eV)   Flux(ph/s/0.1%bw)   p1      p2      p3      p4
   7327.065   3.828353E+12     0.931   0.000   0.000   0.069
   7346.969   3.831205E+12     0.931   0.000   0.000   0.069
   7366.873   3.834039E+12     0.931   0.000   0.000   0.069
   7386.777   3.836853E+12     0.931   0.000   0.000   0.069
   7406.681   3.839649E+12     0.931   0.000   0.000   0.069
   7426.585   3.842426E+12     0.931   0.000   0.000   0.069
   7446.489   3.845184E+12     0.931   0.000   0.000   0.069
   7466.393   3.847924E+12     0.931   0.000   0.000   0.069
   7486.297   3.850645E+12     0.931   0.000   0.000   0.069
   7506.201   3.853348E+12     0.931   0.000   0.000   0.069
   7526.105   3.856032E+12     0.931   0.000   0.000   0.069
   7546.009   3.858698E+12     0.931   0.000   0.000   0.069
   7565.913   3.861345E+12     0.931   0.000   0.000   0.069
   7585.817   3.863974E+12     0.930   0.000   0.000   0.070
   7605.721   3.866585E+12     0.930   0.000   0.000   0.070
   7625.625   3.869178E+12     0.930   0.000   0.000   0.070
   7645.529   3.871753E+12     0.930   0.000   0.000   0.070
   7665.433   3.874310E+12     0.930   0.000   0.000   0.070
   7685.337   3.876849E+12     0.930   0.000   0.000   0.070
   7705.241   3.879370E+12     0.930   0.000   0.000   0.070
   7725.145   3.881873E+12     0.930   0.000   0.000   0.070
   7745.049   3.884359E+12     0.930   0.000   0.000   0.070
   7764.953   3.886826E+12     0.930   0.000   0.000   0.070
   7784.857   3.889277E+12     0.930   0.000   0.000   0.070
   7804.761   3.891709E+12     0.930   0.000   0.000   0.070
   7824.665   3.894124E+12     0.930   0.000   0.000   0.070
   7844.569   3.896521E+12     0.930   0.000   0.000   0.070
   7864.473   3.898901E+12     0.930   0.000   0.000   0.070
   7884.377   3.901264E+12     0.930   0.000   0.000   0.070
   7904.281   3.903610E+12     0.930   0.000   0.000   0.070
   7924.185   3.905938E+12     0.930   0.000   0.000   0.070
   7944.089   3.908249E+12     0.929   0.000   0.000   0.071
   7963.993   3.910543E+12     0.929   0.000   0.000   0.071
   7983.897   3.912819E+12     0.929   0.000   0.000   0.071
   8003.801   3.915079E+12     0.929   0.000   0.000   0.071
   8023.705   3.917322E+12     0.929   0.000   0.000   0.071
   8043.609   3.919548E+12     0.929   0.000   0.000   0.071
   8063.513   3.921757E+12     0.929   0.000   0.000   0.071
   8083.417   3.923949E+12     0.929   0.000   0.000   0.071
   8103.321   3.926125E+12     0.929   0.000   0.000   0.071
   8123.225   3.928283E+12     0.929   0.000   0.000   0.071
   8143.129   3.930426E+12     0.929   0.000   0.000   0.071
   8163.033   3.932551E+12     0.929   0.000   0.000   0.071
   8182.937   3.934661E+12     0.929   0.000   0.000   0.071
   8202.841   3.936753E+12     0.929   0.000   0.000   0.071
